,Samples,Impact strength (KJ/m²),K (MPa m 1/2),GIC (kJ/m²),Vectors,Impact strength (KJ/m²)_err,K (MPa m 1/2)_err,GIC (kJ/m²)_err,Ref
0,DGEBA,4.74,0.95,2.56,['DGEBA'],0.27,0.14,0.28,j.compositesb.2016.03.052_6_0
1,DGEBA/EG1,5.75,1.03,3.08,"['DGEBA', 'EG(1)']",0.51,0.17,0.32,j.compositesb.2016.03.052_6_0
2,DGEBA/EG0.75/GO0.2,6.36,1.31,5.29,"['DGEBA', 'EG(0.75)', 'GO(0.2)']",0.43,0.15,0.44,j.compositesb.2016.03.052_6_0
3,,7.15,1.56,6.41,[''],0.22,0.16,0.21,j.compositesb.2016.03.052_6_0
4,DGEBA/EGo.25/GO0.75,6.18,1.22,4.62,"['DGEBA', 'EGo(.25)', 'GO(0.75)']",0.36,0.11,0.35,j.compositesb.2016.03.052_6_0
5,DGEBA/GO1,5.19,1.06,3.77,"['DGEBA', 'GO1']",0.27,0.18,0.4,j.compositesb.2016.03.052_6_0
