,Samples,TTI (s),Time PHRR (s),PHRR (kW/m²),THR (MJ/m²),Reduction in PHRR (%),FIGRA (kW/m²s),Char yield (%),Vectors,Ref
0,EP,50.0,95.0,985.0,87.1,-,10.4,5.7,['EP'],j.cej.2021.130192_12_0
1,EP/CF-PO(OPh)2-2.5,47.0,100.0,892.0,83.9,9.4,8.9,8.6,"['EP', 'CF-PO(OPh)2(2.5)']",j.cej.2021.130192_12_0
2,EP/CF-PO(OPh)2-5,48.0,123.0,595.0,79.3,39.6,4.8,12.2,"['EP', 'CF-PO(OPh)2-5']",j.cej.2021.130192_12_0
3,EP/CF-PO(OPh)2-10,37.0,134.0,455.0,75.0,53.8,3.4,14.0,"['EP', 'CF-PO(OPh)2(10)']",j.cej.2021.130192_12_0
4,EP/CF-POPh2-10,42.0,98.0,769.0,77.5,21.9,7.8,6.4,"['EP', 'CF-POPh2(10)']",j.cej.2021.130192_12_0
5,EP/CF-PPh2-10,43.0,109.0,818.0,79.4,17.0,7.5,6.6,"['EP', 'CF-PPh2(10)']",j.cej.2021.130192_12_0
