,Samples,Epoxy (g),Hardener (g),Vectors,Ref
0,DGEBF/MXDA,100.0,20.0,"['DGEBF', 'MXDA']",j.polymdegradstab.2021.109537_2_0
1,DGEBF/BAC,100.0,21.0,"['DGEBF', 'BAC']",j.polymdegradstab.2021.109537_2_0
2,DGEBF/MDA,100.0,25.0,"['DGEBF', 'MDA']",j.polymdegradstab.2021.109537_2_0
3,DGEBF/IPDA,100.0,25.0,"['DGEBF', 'IPDA']",j.polymdegradstab.2021.109537_2_0
4,DGEBF/NBDA,100.0,23.0,"['DGEBF', 'NBDA']",j.polymdegradstab.2021.109537_2_0
5,DGEBF/MPDA,100.0,16.0,"['DGEBF', 'MPDA']",j.polymdegradstab.2021.109537_2_0
