,Samples,Td5% (°C),Td10% (°C),Tmax (°C),Char yield (%),Vectors,Td5% (°C)_err,Td10% (°C)_err,Tmax (°C)_err,Char yield (%)_err,Ref
0,REEP/MeHHPA,365.6,380.1,404.8,19.0,"['REEP', 'MeHHPA']",6.1,4.7,3.8,0.1,j.cej.2019.123124_5_0
1,DGEBA/MeHHPA,346.9,376.1,411.1,9.5,"['DGEBA', 'MeHHPA']",5.0,0.6,4.5,0.3,j.cej.2019.123124_5_0
