,Samples,BPO (phr),BPAF (phr),Mn a (x10 3 g/mol),Mw/M,High M (%),Vectors,Ref
0,PPO,-,-,19.0,2.0,-,['PPO'],j.eurpolymj.2021.110674_3_1
1,F2.5-50 (F2.5),2.5,50.0,6.2,2.7,31.8,"['F(2.5)', '(50)(F2.5)']",j.eurpolymj.2021.110674_3_1
2,F5-50 (F5),5.0,50.0,4.7,2.7,21.5,"['F(5)', '(50)(F5)']",j.eurpolymj.2021.110674_3_1
3,F10-50 (F10),10.0,50.0,3.0,2.5,10.1,"['F(10)', '(50)(F10)']",j.eurpolymj.2021.110674_3_1
4,F20-50 (F20),20.0,50.0,3.1,2.8,12.6,"['F(20)', '(50)(F20)']",j.eurpolymj.2021.110674_3_1
5,A-rPPO (A10),10.0,50.0,2.0,1.4,36.0,"['A', 'rPPO(A(10))']",j.eurpolymj.2021.110674_3_1
