,Samples,Tensile strength (MPa),Young's modulus (MPa),Elongation at break (%),Toughness (MPa),Vectors,Tensile strength (MPa)_err,Young's modulus (MPa)_err,Elongation at break (%)_err,Toughness (MPa)_err,Ref
0,TPU-0,8.6,2.2,618.0,32.0,['TPU(0)'],0.5,0.1,15.0,1.2,j.compositesb.2020.108075_9_0
1,TPU/GO 0.10,31.7,3.5,1010.0,166.7,"['TPU', 'GO(0.10)']",1.5,0.1,35.0,2.5,j.compositesb.2020.108075_9_0
2,TPU/GO- PPD 0.10,41.1,5.4,942.0,183.9,"['TPU', 'GO-PPD(0.10)']",1.7,0.2,27.0,5.2,j.compositesb.2020.108075_9_0
3,TPU/GO- HMD 0.10,34.8,3.8,988.0,170.0,"['TPU', 'GO-HMD(0.10)']",1.4,0.2,25.0,3.9,j.compositesb.2020.108075_9_0
4,TPU/GO- NH3 0.10,40.2,4.9,1002.0,192.9,"['TPU', 'GO-NH3(0.10)']",1.8,0.2,32.0,4.7,j.compositesb.2020.108075_9_0
