,Samples,EP (10 g),Curing agent (10 phr) (1g),GNP,GNP coated curing agent,Weight ratio,Vectors,Ref
0,EP-DPCG-0.055,10.0,1.0,0.055,1.055,GNP 0.5 wt%,"['EP', 'DPCG(0.055)']",j.compositesb.2020.108438_3_0
1,EP-DPCG-0.111,10.0,1.0,0.111,1.111,GNP 1.0 wt%,"['EP', 'DPCG(0.111)']",j.compositesb.2020.108438_3_0
2,EP-DPCG-0.224,10.0,1.0,0.224,1.224,GNP 2.0 wt%,"['EP', 'DPCG(0.224)']",j.compositesb.2020.108438_3_0
3,EP-DPCG-0.340,10.0,1.0,0.34,1.34,GNP 3.0 wt%,"['EP', 'DPCG(0.340)']",j.compositesb.2020.108438_3_0
