,Samples,ag X 10-6 6 (K1),XT X 10 6 (K1),A a x 10 6 (K¹,fg,Vectors,Ref
0,DGEBA,96.1,176.7,80.6,0.0052,['DGEBA'],j.compositesb.2020.108005_9_1
1,6 wt% DSEHP-5/ DGEBA,79.16,181.5,102.35,0.0061,"['(0.06)DSEHP-5', 'DGEBA']",j.compositesb.2020.108005_9_1
2,12 wt% DSEHP-5/ DGEBA,78.23,187.9,109.67,0.0082,"['(0.12)DSEHP-5', 'DGEBA']",j.compositesb.2020.108005_9_1
3,15 wt% DSEHP-5/ DGEBA,88.08,191.2,103.12,0.0063,"['(0.15)DSEHP-5', 'DGEBA']",j.compositesb.2020.108005_9_1
