,Samples,Second heating Tm1 (°C),Second heating Tm2 (C),Second heating AHm1+2 (J/g),Second cooling Tc (C),Second cooling (J/g),Crystallinity X (%),Vectors,Ref
0,pCBT,213.4,224.8,45.2,183.9,48.8,31.8,['pCBT'],j.eurpolymj.2011.10.017_7_1
1,pCBT/EP 1%,210.8,222.1,36.7,178.6,40.8,25.8,"['pCBT', 'EP(0.01)']",j.eurpolymj.2011.10.017_7_1
2,pCBT/EP 2%,209.3,220.2,34.3,176.0,38.0,24.2,"['pCBT', 'EP(0.02)']",j.eurpolymj.2011.10.017_7_1
3,pCBT/EP 3%,207.9,218.4,35.5,168.6,37.4,25.0,"['pCBT', 'EP(0.03)']",j.eurpolymj.2011.10.017_7_1
4,pCBT/EP 4%,-,213.2,29.8,164.5,36.4,21.0,"['pCBT', 'EP(0.04)']",j.eurpolymj.2011.10.017_7_1
