,Samples,LOI (%),UL-94,TTI (s),PHRR (kW/m²),HRR (kW/m²),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),Residual weight (%),Vectors,Ref
0,EP/DDS,22.5,NR,47.0,1208.0,177.0,22.2,0.063,1.589,10.4,"['EP', 'DDS']",j.polymdegradstab.2019.06.020_6_0 1
1,EP/DDS/PBI-0.25,28.8,NR,45.0,1046.0,152.0,19.5,0.075,1.265,15.7,"['EP', 'DDS', 'PBI(0.25)']",j.polymdegradstab.2019.06.020_6_0 1
2,EP/DDS/PBI-0.5,31.4,V-1,35.0,922.0,146.0,19.1,0.089,1.202,17.5,"['EP', 'DDS', 'PBI(0.5)']",j.polymdegradstab.2019.06.020_6_0 1
3,EP/DDS/PBI-0.75,34.6,V-0,31.0,620.0,122.0,18.1,0.122,1.106,21.8,"['EP', 'DDS', 'PBI(0.75)']",j.polymdegradstab.2019.06.020_6_0 1
4,EP/DDS/PBI-1.0,33.5,V-0,23.0,610.0,113.0,18.2,0.158,1.025,21.2,"['EP', 'DDS', 'PBI(1.0)']",j.polymdegradstab.2019.06.020_6_0 1
