,Type of resin cement,Brand,Samples,Manufacturer,Batch number,Vectors,Ref
0,Self adhesive resin cement (CSA),Clearfil SA cement,"Paste A: 10-MDP, bis-GMA, TEGMA, hydrophobic aromatic dimethacrylate, silanated barium glass filler, silanated colloidal silica, di-camphorquinone, benzoyl peroxide, Initiator Paste B: bis-GMA, hydrophobic aromatic dimethacrylate, Hydrophobic aliphatic dimethacrylate, silanated barium glass filler, silanated colloidal silica, surface treated sodium fluoride, accelerators, pigments","Kuraray, Osaka, Japan",009ADA,"['PasteA:(10)', 'MDP,bis', 'GMA,TEGMA,hydrophobicaromaticdimethacrylate,silanatedbariumglassfiller,silanatedcolloidalsilica,di', 'camphorquinone,benzoylperoxide,InitiatorPasteB:bis', 'GMA,hydrophobicaromaticdimethacrylate,Hydrophobicaliphaticdimethacrylate,silanatedbariumglassfiller,silanatedcolloidalsilica,surfacetreatedsodiumfluoride,accelerators,pigments']",j.ijadhadh.2012.10.012_2_0
1,Conventional resin cement (PAN),Panavia F2.0,"ED Primer 2.0 A: HEMA, 10-MDP, 5-NMSA, water, accelerator ED Primer 2.0 B: 5-NMSA, water, accelerator, sodium benzene sulfinate Paste A: 10-MDP, hydrophobic aromatic dimethacrylate, hydropholic aliphatic dimethacrylate, hyrdophilic dimetacrilate, silanated silica, photoinitiator, benzoyl peroxide Paste B: Hydrophobic aromatic dimethacrylate, hydropholic aliphatic dimethacrylate, hyrdophilic dimetacrylate, sodium aromatic sulfinate, accelerator, sodium fluoride, silanated barium glass",Kuraray,041320 Paste A: 00095A Paste B: 00498A ED Primer A:00301A ED Primer B: 00175,"['EDPrimer2.0A:HEMA,10', 'MDP,(5)', 'NMSA,water,acceleratorEDPrimer2.0B:5', 'NMSA,water,accelerator,sodiumbenzenesulfinatePasteA:(10)', 'MDP,hydrophobicaromaticdimethacrylate,hydropholicaliphaticdimethacrylate,hyrdophilicdimetacrilate,silanatedsilica,photoinitiator,benzoylperoxidePasteB:Hydrophobicaromaticdimethacrylate,hydropholicaliphaticdimethacrylate,hyrdophilicdimetacrylate,sodiumaromaticsulfinate,accelerator,sodiumfluoride,silanatedbariumglass']",j.ijadhadh.2012.10.012_2_0
