,Samples,Tonset (°C),T5%( C) 2,Tmax2 (°C),Cy700 (%),Vectors,Ref
0,DOPO-BAPh,277.2,290.1,413.9,68.0,['DOPO-BAPh'],j.polymdegradstab.2021.109544_6_0
1,EP,379.5,397.3,428.5,15.6,['EP'],j.polymdegradstab.2021.109544_6_0
2,5DOPO-BAPh/EP,373.8,380.7,417.0,23.5,"['(5)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_6_0
3,10DOPO-BAPh/EP,368.3,380.0,404.3,26.8,"['(10)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_6_0
4,15DOPO-BAPh/EP,356.6,364.6,398.4,28.5,"['(15)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_6_0
5,20DOPO-BAPh/EP,341.4,349.4,384.8,31.5,"['(20)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_6_0
