,Samples,Chemical Structure,Supplied,M (g/mol),F,Vectors,Ref
0,Diglycidyl ether of bisphenol A (DGEBA),H3C CH3 O,Dow Chemical DER 331,371.0,2.0,['DiglycidyletherofbisphenolA(DGEBA)'],j.ijadhadh.2016.02.011_2_0
1,"Diglycidyl ether of 1,4-butanediol (DGEBD)",,Aldrich (60.0%),202.25,2.0,"['Diglycidyletherof(1.4)', 'butanediol(DGEBD)']",j.ijadhadh.2016.02.011_2_0
2,4-Methylpiperidine (4MPip),HN CH3,Aldrich (96.0%),98.17,1.0,['4Methylpiperidine(4MPip)'],j.ijadhadh.2016.02.011_2_0
3,Isophorone diamine (IPD),H2N CH3 H2N CH3 CH3,Aldrich (99.0%),170.3,4.0,['Isophoronediamine(IPD)'],j.ijadhadh.2016.02.011_2_0
4,"4,4'-Diamino-3,3'- dimethyldicyclohexylmethane (3DCM)",H2N NH2 CH3 CH3,Aldrich (99.0%),238.41,4.0,"[""(4.4)'"", 'Diamino', ""(3.3)'"", '3DCM']",j.ijadhadh.2016.02.011_2_0
