,Samples,Storage modulus (25°C) (GPa),Tg (°C),Vectors,Ref
0,Epoxy resin,3.9,83.5,['EP'],j.eurpolymj.2013.03.022_4_0
1,EP/2.5-CTBN,2.7,77.8,"['EP', '(2.5)-CTBN']",j.eurpolymj.2013.03.022_4_0
2,EP/15-CTBN,2.2,80.9,"['EP', '(15)-CTBN']",j.eurpolymj.2013.03.022_4_0
