,Samples,DGEBA (g),NGDE (g),Jeffamine 230 (g),MWCNT (phr),MWCNT Weight (%),Vectors,Ref
0,E-0-CNT,42.86,28.57,28.57,0.0,0.0,"['E', '0', 'CNT']",j.compscitech.2016.10.030_7_0
1,E-0.5-CNT,42.86,28.57,28.57,0.5,0.49,"['E', '0.5', 'CNT']",j.compscitech.2016.10.030_7_0
2,E-1-CNT,42.86,28.57,28.57,1.0,0.99,"['E', '1', 'CNT']",j.compscitech.2016.10.030_7_0
3,E-1.5-CNT,42.86,28.57,28.57,1.5,1.47,"['E', '1.5', 'CNT']",j.compscitech.2016.10.030_7_0
4,E-2-CNT,42.86,28.57,28.57,2.0,1.96,"['E', '2', 'CNT']",j.compscitech.2016.10.030_7_0
