,Samples,TTI (s),FO(s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSR (m²/m²),Char (%),Vectors,Ref
0,UP,40.0,178.0,1050.0,79.0,19.7,4090.0,1.0,['UP'],j.polymdegradstab.2013.12.021_4_2
1,UP: RDP,49.0,131.0,840.0,44.0,11.9,5430.0,2.0,"['UP', 'RDP']",j.polymdegradstab.2013.12.021_4_2
2,UP: BADP,48.0,150.0,800.0,53.0,13.1,6230.0,6.0,"['UP', 'BADP']",j.polymdegradstab.2013.12.021_4_2
3,UP: DOPO,44.0,148.0,850.0,54.0,12.6,6130.0,1.0,"['UP', 'DOPO']",j.polymdegradstab.2013.12.021_4_2
4,UP/PH: 70/30,31.0,178.0,668.0,59.0,20.6,2307.0,25.0,"['UP(0.7)', 'PH(0.3)']",j.polymdegradstab.2013.12.021_4_2
5,UP/PH: 70/30-RDP,49.0,176.0,503.0,45.0,12.7,4248.0,17.0,"['UP(0.7)', 'PH(0.3)', 'RDP']",j.polymdegradstab.2013.12.021_4_2
6,UP/PH: 70/30-BADP,46.0,201.0,476.0,56.0,15.0,4897.0,16.0,"['UP(0.7)', 'PH(0.3)', 'BADP']",j.polymdegradstab.2013.12.021_4_2
7,UP/PH: 70/30-DOPO,27.0,175.0,429.0,54.0,14.9,4580.0,13.0,"['UP(0.7)', 'PH(0.3)', 'DOPO']",j.polymdegradstab.2013.12.021_4_2
8,UP/PH: 50/50,31.0,156.0,584.0,48.0,21.5,1357.0,37.0,"['UP(0.5)', 'PH(0.5)']",j.polymdegradstab.2013.12.021_4_2
9,UP/PH: 50/50-RDP,37.0,154.0,522.0,41.0,16.0,2573.0,26.0,"['UP(0.5)', 'PH(0.5)', 'RDP']",j.polymdegradstab.2013.12.021_4_2
10,UP/PH: 50/50-BADP,32.0,171.0,537.0,47.0,16.9,2867.0,26.0,"['UP(0.5)', 'PH(0.5)', 'BADP']",j.polymdegradstab.2013.12.021_4_2
11,UP/PH: 50/50-DOPO,23.0,209.0,506.0,64.0,14.8,5584.0,21.0,"['UP(0.5)', 'PH(0.5)', 'DOPO']",j.polymdegradstab.2013.12.021_4_2
12,PH,33.0,156.0,467.0,38.0,22.6,594.0,46.0,['PH'],j.polymdegradstab.2013.12.021_4_2
13,PH: RDP,39.0,131.0,519.0,30.0,16.0,1411.0,43.0,"['PH', 'RDP']",j.polymdegradstab.2013.12.021_4_2
14,PH: BADP,40.0,140.0,555.0,35.0,19.0,1539.0,42.0,"['PH', 'BADP']",j.polymdegradstab.2013.12.021_4_2
15,PH: DOPO,19.0,157.0,536.0,45.0,20.8,1362.0,43.0,"['PH', 'DOPO']",j.polymdegradstab.2013.12.021_4_2
