,Samples,C (wt%),N (wt%),P (wt%),O (wt%),Vectors,Ref
0,PEI-EP,74.0,10.4,0.0,15.6,"['PEI', 'EP']",j.cej.2018.03.142_26_0
1,DPPEI-EP,60.7,17.7,4.3,17.3,"['DPPEI', 'EP']",j.cej.2018.03.142_26_0
