,Samples,T,N superscript 2 b Tmax,W800(%),Vectors,Ref
0,EP,364.0,374.9,10.6,['EP'],j.matchemphys.2020.122875_6_0
1,EP/Sn-MOF,337.0,353.1,17.3,"['EP', 'Sn-MOF']",j.matchemphys.2020.122875_6_0
2,EP/PANI,379.3,395.4,14.2,"['EP', 'PANI']",j.matchemphys.2020.122875_6_0
3,EP/Sn-MOF@PANI,367.2,379.3,19.5,"['EP', 'Sn-MOF@PANI']",j.matchemphys.2020.122875_6_0
