,Samples,Tonset (°C),Tmax1 (°C),Tmax2 (°C),Residues (800 °C) (%),Vectors,Ref
0,OPS,450.0,517.0,656.0,8.5,['OPS'],j.polymdegradstab.2012.10.005_5_0
1,PPSQ,504.0,612.0,692.0,45.8,['PPSQ'],j.polymdegradstab.2012.10.005_5_0
2,EP,345.0,370.0,559.0,0.0,['EP'],j.polymdegradstab.2012.10.005_5_0
3,EP/OPS,364.0,379.0,576.0,0.6,"['EP', 'OPS']",j.polymdegradstab.2012.10.005_5_0
4,EP/PPSQ,360.0,381.0,577.0,0.4,"['EP', 'PPSQ']",j.polymdegradstab.2012.10.005_5_0
5,EP/DOPO,336.0,354.0,588.0,0.0,"['EP', 'DOPO']",j.polymdegradstab.2012.10.005_5_0
6,EP/DOPO/OPS,348.0,363.0,581.0,3.9,"['EP', 'DOPO', 'OPS']",j.polymdegradstab.2012.10.005_5_0
7,EP/DOPO/PPSQ,346.0,361.0,567.0,2.5,"['EP', 'DOPO', 'PPSQ']",j.polymdegradstab.2012.10.005_5_0
