,Samples,Young's modulus (GPa),Flexural modulus (GPa),Vectors,Young's modulus (GPa)_err,Flexural modulus (GPa)_err,Ref
0,"CL-0, MST-60, ST-30",0.79,3.3,"['CL', '(0),MST', '(60),ST30']",0.312,1.135,pj.2011.140_3_2
1,"CL-0.5, MST-60, ST-30",1.69,7.7,"['CL', '(0.5),MST', '(60),ST30']",0.188,0.283,pj.2011.140_3_2
2,"CL-1, MST-60, ST-30",1.91,6.72,"['CL', '(1),MST', '(60),ST30']",0.317,0.207,pj.2011.140_3_2
3,"CL-2, MST-60, ST-30",1.96,7.41,"['CL', '(2),MST', '(60),ST30']",0.208,0.564,pj.2011.140_3_2
4,"CL-2, MST-120, ST-30",2.3,7.0,"['CL', '(2),MST', '(120),ST30']",0.135,0.745,pj.2011.140_3_2
5,"CL-2, MST-180, ST-30",2.02,8.08,"['CL', '(2),MST', '(180),ST30']",0.364,1.284,pj.2011.140_3_2
6,"CL-2, MST-120, ST-15",2.01,5.49,"['CL', '(2),MST', '(120),ST15']",0.118,0.249,pj.2011.140_3_2
7,"CL-2, MST-120, ST-45",2.11,6.49,"['CL', '(2),MST', '(120),ST45']",0.192,0.163,pj.2011.140_3_2
