,Samples,Atomic Cls,ratio (%) N1s,ratio (%) O1s,ratio (%) P2p,ratio (%) B1s,Area C1s (C=C/C-C) (%),Area (%) C1s (C-O),Area (%) Cls (C=0),Cox/C ratio,Vectors,Ref
0,EP/DDM,83.11,4.61,12.28,/,/,44.5,51.6,3.8,1.24,"['EP', 'DDM']",j.cej.2021.131578_9_0
1,EP/DDM/PB-5,78.85,4.95,13.92,0.44,1.84,49.8,46.8,3.4,1.01,"['EP', 'DDM', 'PB(5)']",j.cej.2021.131578_9_0
