,Samples,Rs/S2cm2,.1,n1,Rpo/s2.cm2,"Qd1 (52-1cm-2s"")",n2,Rct /S2-cm2,Vectors,Ref
0,PCB-1320h,1.0,4.068,0.953,5.322,1.436,0.6952,4.662,"['PCB', '(1320)h']",j.compositesb.2021.109263_10_0
1,PCBG-10-312h,1.0,3.268,0.8188,9.609,1.459,0.6687,2.19,"['PCBG', '(10)', '(312)h']",j.compositesb.2021.109263_10_0
2,PCBG-15-264h,1.0,7.27,0.9138,1.902,3.856,0.6908,1.005,"['PCBG', '(15)', '(264)h']",j.compositesb.2021.109263_10_0
