,Samples,TIDT IDT,T a max C,Char yield (700 °C) (%),Vectors,Ref
0,GO,75.2,208.6,43.0,['GO'],j.compscitech.2013.12.016_29_0
1,OapPOSS,176.2,193.5,68.0,['OapPOSS'],j.compscitech.2013.12.016_29_0
2,OapPOSS-g-GO,394.5,476.5,79.0,"['OapPOSS', 'g', 'GO']",j.compscitech.2013.12.016_29_0
