,Samples,E (30 °C) (GPa),E (200 °C) (GPa),Tg (°C),ve/10³ (mol/ m³,Tensile strength (MPa),Elongation at break (%),Vectors,Tensile strength (MPa)_err,Elongation at break (%)_err,Ref
0,DGEL/ DDS,3.79,2.07,314.4,1.5,69.2,9.5,"['DGEL', 'DDS']",1.5,1.2,j.cej.2021.131173_6_0
1,DGEBA/ DDS,2.69,0.05,217.4,2.2,57.2,10.8,"['DGEBA', 'DDS']",2.2,0.6,j.cej.2021.131173_6_0
