,,Samples,Density (g/cm³,24 h (wt%),Water absorption 168 h (wt%),Water absorption 672 h (wt%),Vectors,Density (g/cm³_err,24 h (wt%)_err,Water absorption 168 h (wt%)_err,Ref
0,,Neat UPR,1.2,0.19,0.43,0.64,['EPUPR'],0.01,0.02,0.06,j.carbpol.2015.10.008_18_0
1,,CNF-P-0.5%,1.19,0.4,0.72,1.0,"['CNF', 'P(0.005)']",0.01,0.04,0.06,j.carbpol.2015.10.008_18_0
2,,CNF-P-1%,1.18,0.54,1.02,1.49,"['CNF', 'P(0.01)']",0.01,0.06,0.07,j.carbpol.2015.10.008_18_0
3,,CNF-P-2%,1.17,0.48,0.92,1.3,"['CNF', 'P(0.02)']",0.01,0.08,0.08,j.carbpol.2015.10.008_18_0
4,,CNF-E-0.5%,1.17,0.32,0.7,0.91,"['CNF', 'E(0.005)']",0.01,0.08,0.05,j.carbpol.2015.10.008_18_0
5,,CNF-E-1%,1.17,0.23,0.46,0.67,"['CNF', 'E(0.01)']",0.01,0.03,0.06,j.carbpol.2015.10.008_18_0
6,,CNF-E-2%,1.17,0.39,0.78,0.98,"['CNF', 'E(0.02)']",0.01,0.05,0.07,j.carbpol.2015.10.008_18_0
