,Samples,To (°C),Tds (°C)b,(C)c,Ts d,Char600 (%),Swelling (%),Soluble part (%),Vectors,Ref
0,DGEBA/IPDA,160.0,350.0,365.0,176.0,8.0,6.0,1.0,"['DGEBA', 'IPDA']",j.eurpolymj.2012.11.025_8_0
1,GEGA/IPDA,233.0,300.0,335.0,157.0,23.0,4.0,1.0,"['GEGA', 'IPDA']",j.eurpolymj.2012.11.025_8_0
