,Samples,T-5% (°C),T50% (°C),Tmax (°C),Residue (800 °C) (wt%),Vectors,Ref
0,EP,343.5,377.4,368.9,10.4,['EP'],j.cej.2016.10.100_41_0
1,EP/SiO2,341.9,378.5,367.4,12.4,"['EP', 'SiO2']",j.cej.2016.10.100_41_0
2,EP/SiO2@PZM,338.9,370.7,356.2,15.7,"['EP', 'SiO2']",j.cej.2016.10.100_41_0
3,EP/SiO2@PZM@Cul,333.5,371.0,357.4,16.0,"['EP', 'SiO2']",j.cej.2016.10.100_41_0
4,EP/SiO2@PZM@Cu2,327.6,364.1,346.2,18.5,"['EP', 'SiO(2)@PZM@Cu(2)']",j.cej.2016.10.100_41_0
