,Samples,rd,YP,Y,W,W a,Vectors,Ref
0,Epoxy,26.1,11.9,38.0,79.5,23.3,['EP'],j.compscitech.2017.01.026_4_1
1,Epoxy + CNT,27.2,0.6,27.8,59.6,40.4,"['EP', 'CNT']",j.compscitech.2017.01.026_4_1
2,GFRP,26.4,15.4,41.9,,,['GFRP'],j.compscitech.2017.01.026_4_1
3,Water,22.0,50.2,72.2,,,['Water'],j.compscitech.2017.01.026_4_1
