,Samples,TTI (s),Tp (s),PHRR (kW/m²),FIGRA (kW/m²s),THR (MJ/m²),PSPR (m²/s),TSP (m²),Char residue (wt%),Vectors,TTI (s)_err,Tp (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,PSPR (m²/s)_err,TSP (m²)_err,Char residue (wt%)_err,Ref
0,EP/20% AEP,50.0,105.0,1274.0,12.1,93.2,0.53,68.2,2.8,"['EP', '(0.2)AEP']",1.0,3.0,60.0,2.0,0.02,2.5,0.2,j.polymdegradstab.2019.07.005_6_0
1,EP/20% PA-AEP,82.0,95.0,708.0,7.5,41.9,0.27,13.1,35.2,"['EP', '(0.2)PA-AEP']",2.0,2.0,36.0,1.0,0.01,0.5,1.0,j.polymdegradstab.2019.07.005_6_0
