,Samples,TTI (s),THR (MJ/m²),PHRR (kW/m²),SPR (m² m²,TSP (m²),Residue (wt%),Vectors,Ref
0,EP/CF,54.0,47.8,508.3,2540.2,22.5,51.7,"['EP', 'CF']",j.compscitech.2019.107945_19_0
1,EP/(PEC5.8@CF),48.0,36.3,268.9,1821.6,16.1,64.6,"['EP', '(PEC(5.8)@CF)']",j.compscitech.2019.107945_19_0
