,Samples,Modulus (MPa),Strength (MPa),Failure-Strain (mm/mm),Vectors,Modulus (MPa)_err,Strength (MPa)_err,Failure-Strain (mm/mm)_err,Ref
0,E-0-CNT,450.23,16.77,1.01,"['E', '0', 'CNT']",13.7,0.8,0.03,j.compscitech.2016.10.030_10_0
1,E-0.5-CNT,536.11,22.11,0.71,"['E', '0.5', 'CNT']",17.0,1.3,0.09,j.compscitech.2016.10.030_10_0
2,E-1-CNT,616.21,25.77,0.65,"['E', '1', 'CNT']",34.0,1.8,0.1,j.compscitech.2016.10.030_10_0
3,E-1.5-CNT,7.0,28.76,0.61,"['E', '1.5', 'CNT']",51.92,1.1,0.02,j.compscitech.2016.10.030_10_0
4,E-2-CNT,867.8,32.06,0.55,"['E', '2', 'CNT']",38.7,14.0,0.05,j.compscitech.2016.10.030_10_0
