,Samples,a-gel,tgel b (min),C ashrink,Pmon (g/cm³),Ppol (g/cm³),Shrink. d (%),Shrink. e after gel (%),CTEglass x 106 (k-1),CTErubber x 106 (k-1),D x 108 f (cm ²/s),Vectors,Ref
0,DGEBA/MTHPA/0%,0.64,21.5,0.27,1.182,1.214,2.64,1.93,64.3,201.5,4.3,"['DGEBA', 'MTHPA', '(0.0)']",j.eurpolymj.2010.04.015_8_0
1,H1500,,,,,,,,,,,['H(1500)'],j.eurpolymj.2010.04.015_8_0
2,DGEBA/MTHPA/5%,0.65,24.0,0.37,1.181,1.209,2.38,1.5,62.1,193.8,3.4,"['DGEBA', 'MTHPA', '(0.05)']",j.eurpolymj.2010.04.015_8_0
3,DGEBA/MTHPA/10%,0.67,20.6,0.43,1.18,1.208,2.32,1.32,61.7,190.1,2.4,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015_8_0
4,DGEBA/MTHPA/15%,0.7,23.7,0.64,1.18,1.205,2.08,0.75,58.6,188.3,1.2,"['DGEBA', 'MTHPA', '(0.15)']",j.eurpolymj.2010.04.015_8_0
5,DGEBA/MTHPA/20%,0.73,23.9,0.69,1.182,1.204,1.81,0.56,50.4,185.8,0.8,"['DGEBA', 'MTHPA', '(0.2)']",j.eurpolymj.2010.04.015_8_0
6,H30000,,,,,,,,,,,['H(30000)'],j.eurpolymj.2010.04.015_8_0
7,DGEBA/MTHPA/5%,0.65,18.7,0.33,1.177,1.2,1.92,1.29,44.5,187.9,1.0,"['DGEBA', 'MTHPA', '(0.05)']",j.eurpolymj.2010.04.015_8_0
8,DGEBA/MTHPA/10%,0.69,22.1,0.46,1.184,1.198,1.1,0.59,28.0,178.4,0.9,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015_8_0
