,Samples,E (kJ/mol),E (kJ/mol) Ozawa,R2 Kissinger,R2 Ozawa,Vectors,Ref
0,DGEL/DDS,64.8,69.0,0.99939,0.99947,"['DGEL', 'DDS']",j.cej.2021.131173_4_1
1,DGEBA/DDS,60.7,65.5,0.99803,0.99835,"['DGEBA', 'DDS']",j.cej.2021.131173_4_1
