,Samples,T1% (°C),R1% (%/min),Tmax1 (°C),Rmax1 (%/min),Tmax2 (°C),Rmax2 (%/min),00 (%),Vectors,Ref
0,Neat EP,241.0,0.17,371.0,8.22,421.0,10.09,4.0,['EP'],j.compositesb.2019.107189_8_0
1,APP,289.0,0.35,357.0,1.48,639.0,7.53,24.0,['APP'],j.compositesb.2019.107189_8_0
2,EP/28%APP,219.0,0.21,321.0,9.12,427.0,4.52,25.0,"['EP', '(0.28)APP']",j.compositesb.2019.107189_8_0
3,EP/28%APP/2%GNS,224.0,0.17,327.0,6.89,438.0,6.09,24.0,"['EP', '(0.28)APP', '(0.02)GNS']",j.compositesb.2019.107189_8_0
4,EP/28%APP/2%Cu2+-GO,236.0,0.36,324.0,8.4,421.0,4.7,28.0,"['EP', '(0.28)APP', '(0.02)Cu2+-GO']",j.compositesb.2019.107189_8_0
5,EP/28%APP/2%Cu-rGO,226.0,0.28,332.0,7.83,432.0,4.58,23.0,"['EP', '(0.28)APP', '(0.02)Cu-rGO']",j.compositesb.2019.107189_8_0
6,EP/28%APP/2%CuO-GNS,238.0,0.29,324.0,8.77,427.0,4.67,29.0,"['EP', '(0.28)APP', '(0.02)CuO-GNS']",j.compositesb.2019.107189_8_0
