,Samples,Of (MPa),E (GPa),Etot (J),G (kJ/m²),ef (%),ILSS (MPa),Vectors,Of (MPa)_err,E (GPa)_err,Etot (J)_err,G (kJ/m²)_err,ef (%)_err,ILSS (MPa)_err,Ref
0,CF/EP,1153.6,158.17,1.61,2.24,0.7,50.4,"['CF', 'EP']",77.0,5.87,0.28,0.52,0.1,3.6,j.compscitech.2018.10.013_6_0
1,0.1%fANFs/CF/EP,1603.8,156.19,2.22,3.61,1.0,64.4,"['(0.001)fANFs', 'CF', 'EP']",34.6,5.19,0.28,0.58,0.0,2.6,j.compscitech.2018.10.013_6_0
2,0.2%fANFs/CF/EP,1631.1,159.24,2.21,3.82,1.0,67.3,"['(0.002)fANFs', 'CF', 'EP']",16.9,11.3,0.21,0.71,0.1,2.7,j.compscitech.2018.10.013_6_0
3,0.5%fANFs/CF/EP,1716.5,159.77,2.45,4.21,1.1,68.8,"['(0.005)fANFs', 'CF', 'EP']",48.8,5.46,0.28,0.7,0.0,1.8,j.compscitech.2018.10.013_6_0
4,1.0%fANFs/CF/EP,1808.6,154.68,2.65,4.87,1.2,69.3,"['(0.01)fANFs', 'CF', 'EP']",115.1,4.45,0.3,0.72,0.1,1.9,j.compscitech.2018.10.013_6_0
5,1.5%fANFs/CF/EP,1572.6,151.38,2.17,3.77,1.0,62.5,"['(0.015)fANFs', 'CF', 'EP']",25.0,5.8,0.17,0.51,0.0,1.4,j.compscitech.2018.10.013_6_0
