,Samples,E',E6',u',"u""",Ref.,Vectors,E'_err,E6'_err,u'_err,"u""_err",Ref
0,5%MWCNT/30%NdFeB/epoxy,17.0,7.4,1.38,0.86,This work,"['(0.05)MWCNT', '(0.3)NdFeB', 'EP']",2.3,1.9,0.27,0.19,j.compositesb.2018.12.130_6_1
1,Barium ferrite@rGO,20.0,12.5,0.45,0.1,[23],['Bariumferrite@rGO'],2.5,2.0,0.08,0.08,j.compositesb.2018.12.130_6_1
2,Barium ferrite@rEGO,,,,,[40],['Bariumferrite@rEGO'],2.4,0.1,1.0,0.7,j.compositesb.2018.12.130_6_1
3,Barium ferrite@wax,6.0,2.8,1.65,,[39],['Bariumferrite@wax'],1.2,0.8,0.05,-,j.compositesb.2018.12.130_6_1
