,Samples,Initial contact angle (°),Stabilized contact angle (°),Vectors,Ref
0,EP-PEEKTOH blend (5 wt %),66.0,42.0,"['EP', 'PEEKTOHblend(0.05)']",j.ijadhadh.2021.102816_6_0
1,EP-PEEKTOH blend (10 wt %),92.0,70.0,"['EP', 'PEEKTOHblend(0.1)']",j.ijadhadh.2021.102816_6_0
2,EP-PEEKTOH blend (15 wt %),123.0,82.0,"['EP', 'PEEKTOHblend(0.15)']",j.ijadhadh.2021.102816_6_0
