,Samples,DGEBA (g),DDM (g),BPA-BPP (g),BPA-BPP (wt%),Vectors,Ref
0,EP,80.0,21.5,-,,['EP'],j.polymdegradstab.2016.08.013_2_0
1,EP/3%BPA-BPP,80.0,21.5,3.1,3.0,"['EP', '(0.03)BPA-BPP']",j.polymdegradstab.2016.08.013_2_0
2,EP/6%BPA-BPP,80.0,21.5,6.5,6.0,"['EP', '(0.06)BPA-BPP']",j.polymdegradstab.2016.08.013_2_0
3,EP/9%BPA-BPP,80.0,21.5,10.0,9.0,"['EP', '(0.09)BPA-BPP']",j.polymdegradstab.2016.08.013_2_0
