,Samples,Tg (°C),Td1% (°C),"Td, 2% (C)",Char yields at 700 O C (wt%),Vectors,Ref
0,DGEBA/DDS,191.0,378.0,391.0,12.6,"['DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_3_0
1,6%TGIC-DOPO/DGEBA/DDS,190.0,339.0,358.0,18.5,"['(0.06)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_3_0
2,8%TGIC-DOPO/DGEBA/DDS,182.0,346.0,357.0,18.4,"['(0.08)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_3_0
3,10%TGIC-DOPO/DGEBA/DDS,180.0,314.0,353.0,18.5,"['(0.1)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_3_0
4,12%TGIC-DOPO/DGEBA/DDS,176.0,337.0,347.0,18.8,"['(0.12)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_3_0
5,TGIC-DOPO,107.0,211.0,251.0,7.4,['TGIC-DOPO'],j.polymdegradstab.2014.05.007_3_0
