,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSP (m²),Char yield (%),Vectors,Ref
0,EP,49.0,1247.0,49.8,26.7,3.9,['EP'],j.polymdegradstab.2017.05.026_8_1
1,EP/MFAPP/PER,27.0,961.0,39.9,20.6,13.9,"['EP', 'MFAPP', 'PER']",j.polymdegradstab.2017.05.026_8_1
2,EP/MFAPP/RCC,30.0,1055.0,40.5,24.5,11.7,"['EP', 'MFAPP', 'RCC']",j.polymdegradstab.2017.05.026_8_1
3,EP/MFAPP/ORCC15.6,29.0,554.0,20.9,10.2,36.8,"['EP', 'MFAPP', 'ORCC(15.6)']",j.polymdegradstab.2017.05.026_8_1
