,Samples,Element C,Element o,concentration N (%),concentration P (%),Vectors,Ref
0,EP,70.45,26.61,2.94,0.0,['EP'],j.polymdegradstab.2021.109544_8_0
1,5DOPO-BAPh/EP,86.3,9.17,4.26,0.27,"['(5)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_8_0
2,10DOPO-BAPh/EP,83.57,12.1,3.82,0.51,"['(10)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_8_0
3,15DOPO-BAPh/EP,82.45,12.1,4.86,0.59,"['(15)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_8_0
4,20DOPO-BAPh/EP,85.86,9.36,4.27,0.52,"['(20)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_8_0
