,Samples,THE / MJ m²²,PHRR (kW/m²),u / wt%,EHC (MJ/kg),Vectors,THE / MJ m²²_err,PHRR (kW/m²)_err,u / wt%_err,EHC (MJ/kg)_err,Ref
0,EP,108.4,1696.0,0.7,26.9,['EP'],2.6,0.0,0.1,1.0,j.eurpolymj.2019.109390_24_0
1,EP/BDP,87.5,1180.0,3.1,22.7,"['EP', 'BDP']",1.2,41.0,0.2,0.2,j.eurpolymj.2019.109390_24_0
2,EP/mPE,78.1,885.0,9.2,21.6,"['EP', 'mPE']",6.5,16.0,0.1,1.8,j.eurpolymj.2019.109390_24_0
3,EP/mPE-S,96.5,958.0,7.7,25.2,"['EP', 'mPE-S']",0.7,51.0,0.0,0.6,j.eurpolymj.2019.109390_24_0
4,EP/mPE-S-ox,99.3,1219.0,4.7,27.5,"['EP', 'mPE-S-ox']",5.0,26.0,0.5,0.4,j.eurpolymj.2019.109390_24_0
5,EP/hbPPE,89.8,953.0,7.5,24.3,"['EP', 'hbPPE']",3.0,41.0,0.6,0.6,j.eurpolymj.2019.109390_24_0
