,Samples,PHRR (kW/m²),THR (MJ/m²),Reference,Vectors,Ref
0,7.0 wt% u-silica,~(-)25%,(-)8%,44.0,"['(0.07)u', 'silica']",j.cej.2016.10.100_40_0
1,2.0 wt% MoS2,~(-)43%,~(-)14%,45.0,['(0.02)MoS2'],j.cej.2016.10.100_40_0
2,3.0 wt% h-BN,~(-)53%,~(-)32%,38.0,"['(0.03)h', 'BN']",j.cej.2016.10.100_40_0
3,2.0 wt% OapPOSS-rGO,~(-)38%,~(-)36%,46.0,"['(0.02)OapPOSS', 'rGO']",j.cej.2016.10.100_40_0
4,5.0 wt% Gr/Fe@Fe2O3,~(-)15%,~(-)20%,47.0,['(0.05)Gr/Fe@Fe2O3'],j.cej.2016.10.100_40_0
5,3.0 wt% CNT-PR,~(-)33%,Not reported,48.0,"['(0.03)CNT', 'PR']",j.cej.2016.10.100_40_0
