,Cods,Samples,Molar rations,Synthesis manner,Vectors,Ref
0,A,DGEPEG:DGEBA/APEG:IPDA,1.0,Combinational,"['DGEPEG:DGEBA', 'APEG:IPDA']",j.ijadhadh.2019.102430_3_0
1,B,DGEPEG/IPDA,1.0,Non- Combinational,"['DGEPEG', 'IPDA']",j.ijadhadh.2019.102430_3_0
2,C,DGEBA/APEG,1.0,Non- Combinational,"['DGEBA', 'APEG']",j.ijadhadh.2019.102430_3_0
3,D,DGEPEG:DGEBA/APEG:IPDA/5.0 wt % SiO2,1.0,Combinational,"['DGEPEG:DGEBA', 'APEG:IPDA', '(0.05)SiO2']",j.ijadhadh.2019.102430_3_0
4,E,DGEPEG/IPDA/5.0wt% SiO2,1.0,Non- Combinational,"['DGEPEG', 'IPDA', '(0.05)SiO2']",j.ijadhadh.2019.102430_3_0
5,F,DGEBA/APEG/5.0wt% SiO2,1.0,Non- Combinational,"['DGEBA', 'APEG', '(0.05)SiO2']",j.ijadhadh.2019.102430_3_0
