,Samples,F-content (wt%),Contact angle of water (°),Vectors,Ref
0,3F-PFE-D230,11.6,96.73,"['3F', 'PFE', 'D230']",j.polymdegradstab.2012.02.012_6_0
1,3F-PFE-2MI,14.04,95.88,"['3F', 'PFE', '2MI']",j.polymdegradstab.2012.02.012_6_0
2,3F-PFE-DDM,12.03,98.08,"['3F', 'PFE', 'DDM']",j.polymdegradstab.2012.02.012_6_0
3,3F-PFE-PA,11.11,105.5,"['3F', 'PFE', 'PA']",j.polymdegradstab.2012.02.012_6_0
