,Samples,C-C C-H C=C area (%),C-O-C C-OH area (%),C=O area (%),COOR area (%),Cox/C,Vectors,Ref
0,EP,33.0,26.0,21.0,20.0,2.03,['EP'],j.cej.2018.08.023_26_0
1,EP/2.4[Dmim]Tos,42.0,23.0,18.0,17.0,1.17,"['EP', '(2.4)[Dmim]Tos']",j.cej.2018.08.023_26_0
2,EP/4.0[Dmim]Tos,46.0,20.0,17.0,17.0,1.27,"['EP', '(4.0)[Dmim]Tos']",j.cej.2018.08.023_26_0
3,EP/7.5[Dmim]Tos,44.0,22.0,17.0,17.0,1.38,"['EP', '(7.5)[Dmim]Tos']",j.cej.2018.08.023_26_0
