,Samples,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,Vectors,Ref
0,DG/DDM,90.1,126.4,142.9,153.5,159.6,166.7,170.8,178.6,"['DG', 'DDM']",s0141-3910(01)00092-1_7_1
1,DG/TS,121.7,142.1,154.9,163.5,175.3,184.7,190.8,206.2,"['DG', 'TS']",s0141-3910(01)00092-1_7_1
2,DG/DS,120.5,122.2,127.7,131.1,133.1,137.7,147.5,152.4,"['DG', 'DS']",s0141-3910(01)00092-1_7_1
3,DG/AS,108.7,136.7,145.7,145.4,146.2,154.6,172.9,187.4,"['DG', 'AS']",s0141-3910(01)00092-1_7_1
