,Samples,C (wt%),O (wt%),N (wt%),P (wt%),Vectors,Ref
0,EP,82.52,11.43,6.05,0.0,['EP'],j.polymdegradstab.2019.06.011_7_0
1,EP/13% DOPMPA,78.12,14.21,5.22,2.45,"['EP', '(0.13)DOPMPA']",j.polymdegradstab.2019.06.011_7_0
