,Samples,T5% (°C),Tmax (°C),Rmax (%/min),Char,yields at temperatures,different (%),,Vectors,Ref
0,,,,,500.0,600.0,700.0,800.0,[''],j.polymdegradstab.2019.03.003_5_0
1,EP/DDS,383.0,408.0,16.1,23.0,19.6,18.3,17.3,"['EP', 'DDS']",j.polymdegradstab.2019.03.003_5_0
2,EP/DDS/DOPO,343.0,396.0,15.0,24.0,21.4,20.4,19.6,"['EP', 'DDS', 'DOPO']",j.polymdegradstab.2019.03.003_5_0
3,EP/DDS/DTA- 0.25,347.0,403.0,14.9,25.2,22.3,21.3,20.7,"['EP', 'DDS', 'DTA(0.25)']",j.polymdegradstab.2019.03.003_5_0
4,EP/DDS/DTA-0.5,339.0,395.0,13.1,26.1,23.2,22.3,21.5,"['EP', 'DDS', 'DTA(0.5)']",j.polymdegradstab.2019.03.003_5_0
5,EP/DDS/DTA- 0.75,339.0,390.0,12.2,28.0,25.2,24.2,23.5,"['EP', 'DDS', 'DTA(0.75)']",j.polymdegradstab.2019.03.003_5_0
6,EP/DDS/DTA-1.0,334.0,383.0,11.4,28.6,25.9,24.9,24.3,"['EP', 'DDS', 'DTA(1.0)']",j.polymdegradstab.2019.03.003_5_0
