,Samples,DGEBA (g),DOL-epoxy resin (g),DKL-epoxy resin (g),DDM (g),Vectors,Ref
0,DGEBA-DDM,100.0,0.0,0.0,16.8,"['DGEBA', 'DDM']",j.eurpolymj.2016.07.014_3_0
1,25% DOL-DDM,75.0,25.0,0.0,14.9,"['(0.25)DOL', 'DDM']",j.eurpolymj.2016.07.014_3_0
2,50% DOL-DDM,50.0,50.0,0.0,13.0,"['(0.5)DOL', 'DDM']",j.eurpolymj.2016.07.014_3_0
3,75% DOL-DDM,25.0,75.0,0.0,11.1,"['(0.75)DOL', 'DDM']",j.eurpolymj.2016.07.014_3_0
4,100%DOL-DDM,0.0,100.0,0.0,9.2,"['(1.0)DOL', 'DDM']",j.eurpolymj.2016.07.014_3_0
5,25% DKL-DDM,75.0,0.0,25.0,14.2,"['(0.25)DKL', 'DDM']",j.eurpolymj.2016.07.014_3_0
6,50% DKL-DDM,50.0,0.0,50.0,11.7,"['(0.5)DKL', 'DDM']",j.eurpolymj.2016.07.014_3_0
7,75% DKL-DDM,25.0,0.0,75.0,9.1,"['(0.75)DKL', 'DDM']",j.eurpolymj.2016.07.014_3_0
8,100%DKL-DDM,0.0,0.0,100.0,6.5,"['(1.0)DKL', 'DDM']",j.eurpolymj.2016.07.014_3_0
