,Samples,TTI (s),HRR (kW/m²),PHRR (kW/m²),EHC (MJ/kg),THR (MJ/m²),COY (kg/kg),CO₂Y (kg/kg),Vectors,Ref
0,EP,47.0,177.0,1208.0,22.2,80.6,0.063,1.59,['EP'],j.polymdegradstab.2016.01.011_4_1
1,EP/HMCP-0.25,39.0,170.0,751.0,21.6,77.0,0.088,1.56,"['EP', 'HMCP(0.25)']",j.polymdegradstab.2016.01.011_4_1
2,EP/HMCP-0.5,38.0,135.0,469.0,20.0,66.5,0.095,1.46,"['EP', 'HMCP(0.5)']",j.polymdegradstab.2016.01.011_4_1
3,EP/HMCP-0.75,36.0,136.0,506.0,19.2,63.0,0.124,1.28,"['EP', 'HMCP(0.75)']",j.polymdegradstab.2016.01.011_4_1
4,EP/HMCP-1.0,36.0,130.0,467.0,18.5,58.0,0.155,1.18,"['EP', 'HMCP(1.0)']",j.polymdegradstab.2016.01.011_4_1
5,EP/HMCP-1.25,39.0,120.0,351.0,17.5,50.0,0.162,1.18,"['EP', 'HMCP(1.25)']",j.polymdegradstab.2016.01.011_4_1
