,Samples,Young's modulus (GPa),Flexural modulus (GPa),Vectors,Young's modulus (GPa)_err,Flexural modulus (GPa)_err,Ref
0,"CL-O, MST-60, ST-30",0.79,3.3,"['CL', 'O,MST', '(60),ST30']",0.312,1.135,pj.2011.140_3_1
1,"CL-0.5, MST-60, ST-30",1.18,6.98,"['CL', '(0.5),MST', '(60),ST30']",0.438,0.302,pj.2011.140_3_1
2,"CL-1, MST-60, ST-30",1.92,6.93,"['CL', '(1),MST', '(60),ST30']",0.215,0.232,pj.2011.140_3_1
3,"CL-2, MST-60, ST-30",1.93,5.35,"['CL', '(2),MST', '(60),ST30']",0.064,0.736,pj.2011.140_3_1
4,"CL-2, MST-120, ST-30",2.12,6.5,"['CL', '(2),MST', '(120),ST30']",0.131,0.328,pj.2011.140_3_1
5,"CL-2, MST-180, ST-30",2.0,6.75,"['CL', '(2),MST', '(180),ST30']",0.121,0.284,pj.2011.140_3_1
6,"CL-2, MST-120, ST-15",1.91,5.73,"['CL', '(2),MST', '(120),ST15']",0.104,0.325,pj.2011.140_3_1
7,"CL-2, MST-120, ST-45",2.06,6.75,"['CL', '(2),MST', '(120),ST45']",0.073,0.179,pj.2011.140_3_1
