,Samples,UL-94,LOI (%),TTI (s),PHRR (kW/m²),THR (MJ/m²),Residue (wt%),EHC (MJ/kg),TSR (m²/m²),TSP (m²),Vectors,LOI (%)_err,Ref
0,EP,No rating,26.9,80.0,1198.8,107.5,10.8,30.6,3605.2,32.2,['EP'],0.4,j.eurpolymj.2021.110319_6_0
1,EP/10% DABP-2DOPO,V-0,32.4,73.0,877.6,90.9,16.4,27.6,2891.5,25.8,"['EP', '(0.1)DABP-2DOPO']",0.3,j.eurpolymj.2021.110319_6_0
