,Samples,d5% (°C),(°C),Y (%),Rmax (%/min),Vectors,Ref
0,PH-ODA-EP/DDM,280.1,504.1,41.7,5.1,"['PH-ODA-EP', 'DDM']",j.cej.2019.123667_48_0
1,DGEBA/DDM,388.2,414.3,14.8,31.3,"['DGEBA', 'DDM']",j.cej.2019.123667_48_0
