,Samples,C on surface (%),N on surface (%),O on surface (%),P on surface (%),Vectors,Ref
0,+ 10% RDP: 300 S at 60 kW.m-2,82.5,3.7,6.6,5.3,['(0.1)RDP:300Sat60kW.m-2'],j.polymdegradstab.2021.109497_7_0
1,+ 10% RDP: 600 S at 60 kW.m-²,86.4,5.3,6.5,1.8,['(0.1)RDP:600Sat60kW.m-²'],j.polymdegradstab.2021.109497_7_0
2,+ 10% RDP: 1200 S at 60 kW.m-2,86.4,4.2,7.1,1.3,['(0.1)RDP:1200Sat60kW.m-2'],j.polymdegradstab.2021.109497_7_0
3,+ 10% RDP: 1500 S at 60 kW-m-2,89.1,5.2,4.4,0.9,"['(0.1)RDP:1500Sat60kW', 'm(2)']",j.polymdegradstab.2021.109497_7_0
4,+ 10% SPB100*: 1200 S at 60 kW.m-2,90.5,6.5,2.6,0.4,['(0.1)SPB100*:1200Sat60kW.m-2'],j.polymdegradstab.2021.109497_7_0
5,+ 10% HFC-X: 1200 S at 60 kW.m-2,90.2,5.1,3.7,0.8,"['(0.1)HFC', 'X:(1200)Sat60kW.m2']",j.polymdegradstab.2021.109497_7_0
