,Samples,Td (°C),T1max (°C),T2max (°C),Char (%),Vectors,Ref
0,DG/DDM,220.1,397.3,442.1,2.1,"['DG', 'DDM']",s0141-3910(01)00092-1_7_0
1,DG/TS,277.8,373.6,454.2,5.0,"['DG', 'TS']",s0141-3910(01)00092-1_7_0
2,DG/DS,276.6,366.9,440.7,6.2,"['DG', 'DS']",s0141-3910(01)00092-1_7_0
3,DG/AS,295.0,387.0,447.4,4.9,"['DG', 'AS']",s0141-3910(01)00092-1_7_0
