,PSA,Samples,Dp (nm),Gel (%),Sol Mw (kDa),D,Tg (°C),Bio (%),Vectors,Dp (nm)_err,Gel (%)_err,Sol Mw (kDa)_err,Ref
0,1.1,20A (100),230.0,66.0,63.0,4.1,43.0,71.0,['20A(1.0)'],3.0,1.0,5.0,j.eurpolymj.2020.110244_4_0
1,1.2,2OA:IBOMA (85:15),229.0,61.5,89.0,6.2,28.0,71.0,"['2OA(0.85)', 'IBOMA(0.15)']",4.0,0.2,0.3,j.eurpolymj.2020.110244_4_0
2,1.3,2OA:IBOMA + CTA* (85:15),210.0,50.3,111.0,5.9,28.0,71.0,"['2OA(0.85)', 'IBOMA(0.15)', 'CTA*']",3.0,0.2,0.3,j.eurpolymj.2020.110244_4_0
3,2.1,2OA:IBOMA (85:15),215.0,56.2,104.0,6.2,28.0,70.0,"['2OA(0.85)', 'IBOMA(0.15)']",2.0,0.2,1.3,j.eurpolymj.2020.110244_4_0
4,2.2,2OA:IBOMA + CTA* (85:15),210.0,51.3,122.0,8.2,28.0,70.0,"['2OA(0.85)', 'IBOMA(0.15)', 'CTA*']",3.0,1.0,19.6,j.eurpolymj.2020.110244_4_0
5,2.3,2OA:IBOMA: ISOMA + CTA* (85:10:5),220.0,47.0,151.0,9.6,29.0,70.0,"['2OA(0.85)', 'IBOMA(0.1)', 'ISOMA(0.05)', 'CTA*']",4.0,2.0,4.3,j.eurpolymj.2020.110244_4_0
