,Samples,TTI (s),FPI (m²s/kW),FGI (kW/m²s),PHRR (kW/m²),THR (mJ/m²),MLR (g/s),EHC (MJ/kg),TSR (m²/m²),TSP (m²),SEA (m/kg),Residue (%),Vectors,Ref
0,BD,96.0,0.25,3.1,392.0,59.0,0.045,23.7,197066.0,17.4,789.0,29.0,['BD'],j.polymdegradstab.2015.08.005_23_0
1,PMI-HSi5/BD,95.0,0.32,2.7,308.0,495.0,0.036,23.2,1107.0,9.8,53016.0,33.0,"['PMI-HSi5', 'BD']",j.polymdegradstab.2015.08.005_23_0
2,PMI-HSi10/BD,96.0,0.37,2.2,257.0,53.0,0.036,25.4,1115.0,9.9,43110.0,41.0,"['PMI-HSi(10)', 'BD']",j.polymdegradstab.2015.08.005_23_0
3,PMI-HSi15/BD,98.0,0.45,1.7,217.0,407.0,0.036,24.6,1114.0,9.8,507.0,49.0,"['PMI-HSi(15)', 'BD']",j.polymdegradstab.2015.08.005_23_0
4,PMI-HSi20/BD,92.0,0.37,2.2,251.0,57.0,0.033,25.01,148079.0,12.9,506.0,52.0,"['PMI-HSi(20)', 'BD']",j.polymdegradstab.2015.08.005_23_0
