,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSR,COY (kg/kg),CO₂Y (kg/kg),Vectors,Ref
0,EP,61.0,1125.8,66.2,22.8,2561.0,0.071,1.942,['EP'],j.cej.2018.08.023_22_0
1,EP/2.4 Dmim Tos,51.0,947.6,67.3,22.5,2379.0,0.084,1.997,"['EP', '(2.4)DmimTos']",j.cej.2018.08.023_22_0
2,EP/4.0[Dmim]Tos,57.0,705.4,57.6,21.4,2215.0,0.095,1.841,"['EP', '(4.0)[Dmim]Tos']",j.cej.2018.08.023_22_0
3,EP/7.5[Dmim]Tos,51.0,767.0,56.2,20.1,2269.0,0.1,1.79,"['EP', '(7.5)[Dmim]Tos']",j.cej.2018.08.023_22_0
