,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),SEA (m²/kg),COY (kg/kg),CO₂Y (kg/kg),Vectors,TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSR (m²/m²)_err,SEA (m²/kg)_err,COY (kg/kg)_err,CO₂Y (kg/kg)_err,Ref
0,Pure EP,50.0,860.0,112.0,4182.0,897.0,0.07,1.82,['EP'],2.0,22.0,3.0,210.0,30.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
1,EP/PEPA,53.0,538.0,78.0,3196.0,936.0,0.11,2.0,"['EP', 'PEPA']",2.0,24.0,2.0,156.0,34.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
2,EP/APP,61.0,1087.0,96.0,3782.0,974.0,0.11,2.16,"['EP', 'APP']",2.0,30.0,2.0,190.0,23.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
3,EP/DOPO,55.0,684.0,76.0,3800.0,1324.0,0.13,1.67,"['EP', 'DOPO']",1.0,28.0,1.0,186.0,39.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
4,EP/OPS,55.0,626.0,112.0,3729.0,899.0,0.08,2.0,"['EP', 'OPS']",1.0,30.0,2.0,188.0,35.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
5,EP/OPS/PEPA,52.0,524.0,84.0,3594.0,961.0,0.1,1.96,"['EP', 'OPS', 'PEPA']",2.0,25.0,2.0,193.0,36.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
6,EP/OPS/APP,63.0,584.0,101.0,3895.0,943.0,0.09,2.05,"['EP', 'OPS', 'APP']",2.0,28.0,3.0,212.0,38.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
7,EP/OPS/DOPO,55.0,548.0,83.0,3899.0,1039.0,0.13,1.91,"['EP', 'OPS', 'DOPO']",1.0,23.0,2.0,160.0,43.0,0.01,0.01,j.polymdegradstab.2014.07.023_3_0
