,Samples,DGEBA (wt%),DDS (wt%),DOPO (wt%),DIB (wt%),P content (wt%),Vectors,Ref
0,EP/DDS,75.2,24.8,0.0,0.0,0.0,"['EP', 'DDS']",j.polymdegradstab.2018.11.021_3_0
1,EP/DDS/DOPO,69.9,23.1,7.0,0.0,1.0,"['EP', 'DDS', 'DOPO']",j.polymdegradstab.2018.11.021_3_0
2,EP/DDS/DIB-0.25,73.9,23.3,0.0,2.8,0.25,"['EP', 'DDS', 'DIB(0.25)']",j.polymdegradstab.2018.11.021_3_0
3,EP/DDS/DIB-0.5,72.6,21.8,0.0,5.6,0.5,"['EP', 'DDS', 'DIB(0.5)']",j.polymdegradstab.2018.11.021_3_0
4,EP/DDS/DIB-0.75,71.2,20.4,0.0,8.4,0.75,"['EP', 'DDS', 'DIB(0.75)']",j.polymdegradstab.2018.11.021_3_0
5,EP/DDS/DIB-1.0,69.8,19.0,0.0,11.2,1.0,"['EP', 'DDS', 'DIB(1.0)']",j.polymdegradstab.2018.11.021_3_0
