,Samples,Cured epoxy resin (wt%),Content of flame Silsesquioxane,retardant (wt%) Si,retardant (wt%) DOPO,retardant (wt%) P,Vectors,Ref
0,EP,100.0,/,/,/,/,['EP'],j.polymdegradstab.2012.10.005_3_0
1,EP/OPS,95.9,4.1,0.9,/,/,"['EP', 'OPS']",j.polymdegradstab.2012.10.005_3_0
2,EP/PPSQ,95.9,4.1,0.9,/,,"['EP', 'PPSQ']",j.polymdegradstab.2012.10.005_3_0
3,EP/DOPO,93.7,/,/,6.3,0.9,"['EP', 'DOPO']",j.polymdegradstab.2012.10.005_3_0
4,EP/DOPO/OPS,94.8,2.1,0.45,3.1,0.45,"['EP', 'DOPO', 'OPS']",j.polymdegradstab.2012.10.005_3_0
5,EP/DOPO/PPSQ,94.8,2.1,0.45,3.1,0.45,"['EP', 'DOPO', 'PPSQ']",j.polymdegradstab.2012.10.005_3_0
