,Samples,AP-EGDE/PMPS ratio,LOI (%),Residue (700 °C) (%),Vectors,Ref
0,AP-EGDE/MHHPA,100.0,21.6,0.0,"['AP-EGDE', 'MHHPA']",j.compositesb.2019.107487_45_0
1,AESE20/MHHPA,80.0,30.0,8.0,"['AESE(20)', 'MHHPA']",j.compositesb.2019.107487_45_0
2,AESE30/MHHPA,70.0,30.2,13.0,"['AESE(30)', 'MHHPA']",j.compositesb.2019.107487_45_0
3,AESE40/MHHPA,60.0,28.6,19.0,"['AESE(40)', 'MHHPA']",j.compositesb.2019.107487_45_0
4,AESE50/MHHPA,50.0,28.3,25.0,"['AESE(50)', 'MHHPA']",j.compositesb.2019.107487_45_0
5,PAESE30/MHHPA b,70.0,25.3,16.0,"['PAESE(30)', 'MHHPAb']",j.compositesb.2019.107487_45_0
