,Samples,Cohesive failure (%),Vectors,Ref
0,DGEBA/TETA,75.0,"['DGEBA', 'TETA']",j.ijadhadh.2011.01.002_5_0
1,DGEBA/AEP,82.0,"['DGEBA', 'AEP']",j.ijadhadh.2011.01.002_5_0
2,DGEBA/IPD,78.0,"['DGEBA', 'IPD']",j.ijadhadh.2011.01.002_5_0
